[1217/125615.421:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1217/232948.585:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1217/232953.605:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1217/232958.626:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1217/233003.644:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1217/233008.670:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1217/233013.698:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1217/233018.722:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1217/233023.728:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1217/233028.737:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1217/233038.409:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1217/233038.499:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1217/233044.441:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
